Region,Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Europe & Central Asia,Albania,63.247,64.325,65.261,66.017,66.585,66.987,67.273,67.517,67.779,68.084,68.441,68.84,69.247,69.64,70.014,70.37,70.711,71.045,71.382,71.725,72.085,72.472,72.885,73.315,73.746,74.15,74.488,74.741,74.902,74.978,74.992,74.981,74.985,75.039,75.158,75.352,75.618,75.931,76.269,76.616,76.953,77.264,77.541,77.782,77.988,78.17,78.344,78.528,78.733,78.962,79.209,79.462,79.705,79.927,80.124,80.297,80.451
East Asia & Pacific,Australia,74,74.2,74.2,74.2,74.2,74.2,74.2,74.26,74.32,74.38,74.44,74.5,74.92,75.34,75.76,76.18,76.6,76.94,77.28,77.62,77.96,78.3,78.48,78.66,78.84,79.02,79.2,79.44,79.68,79.92,80.16,80.4,80.4,80.9,80.9,80.8,81.1,81.4,81.5,81.8,82,82.4,82.6,82.8,83,83.3,83.5,83.7,83.7,83.9,84,84.2,84.3,84.3,84.4,84.5,84.6
Europe & Central Asia,Azerbaijan,64.168,64.403,64.629,64.852,65.074,65.299,65.527,65.753,65.972,66.182,66.376,66.55,66.702,66.833,66.943,67.035,67.112,67.183,67.252,67.328,67.416,67.526,67.656,67.805,67.97,68.142,68.309,68.463,68.598,68.714,68.817,68.917,69.024,69.148,69.286,69.428,69.553,69.653,69.729,69.797,69.891,70.06,70.33,70.713,71.2,71.76,72.347,72.91,73.405,73.813,74.127,74.355,74.527,74.672,74.801,74.924,75.046
Latin America & Carribean,Belize,61.332,61.866,62.404,62.946,63.492,64.04,64.589,65.135,65.675,66.207,66.732,67.252,67.766,68.273,68.773,69.262,69.736,70.194,70.631,71.046,71.441,71.82,72.185,72.531,72.85,73.132,73.361,73.527,73.624,73.645,73.584,73.431,73.199,72.907,72.578,72.244,71.937,71.68,71.493,71.387,71.364,71.421,71.532,71.674,71.832,71.989,72.133,72.258,72.364,72.453,72.533,72.616,72.716,72.845,73.003,73.189,73.396
Europe & Central Asia,Bulgaria,71.03,72.06,71.3,72.02,72.96,73.23,73.18,72.56,73.32,72.74,73.51,73.24,73.23,73.77,73.6,73.58,73.92,73.5,73.72,74.11,73.99,74.43,74.08,74.48,74.66,74.46,75.06,74.81,74.99,75.19,75.15,74.88,75.09,75.26,75.25,74.9,74.58,73.87,74.8,75.1,75.3,75.2,75.4,75.6,76.2,76.3,76.3,76.3,76.6,77.1,77.2,77.8,77.9,78.6,78,78.2,78.2
Sub-Saharan Africa,Burkina Faso,35.553,36.025,36.503,36.986,37.474,37.961,38.441,38.91,39.37,39.824,40.278,40.735,41.206,41.705,42.242,42.85,43.561,44.38,45.288,46.257,47.234,48.154,48.962,49.619,50.106,50.418,50.571,50.616,50.601,50.559,50.516,50.494,50.498,50.534,50.613,50.734,50.887,51.06,51.249,51.461,51.712,52.023,52.409,52.875,53.421,54.04,54.721,55.442,56.178,56.909,57.616,58.285,58.912,59.496,60.035,60.531,60.992
Sub-Saharan Africa,Cabo Verde,50.078,50.288,50.582,50.971,51.454,52.011,52.61,53.218,53.816,54.407,55.02,55.705,56.492,57.391,58.379,59.407,60.409,61.32,62.095,62.72,63.2,63.562,63.864,64.151,64.446,64.758,65.085,65.413,65.734,66.052,66.371,66.695,67.03,67.385,67.767,68.196,68.694,69.263,69.891,70.556,71.22,71.837,72.368,72.791,73.098,73.294,73.401,73.459,73.505,73.56,73.642,73.758,73.902,74.069,74.257,74.465,74.687
Latin America & Carribean,Chile,60.056,60.519,60.991,61.477,61.979,62.502,63.047,63.617,64.209,64.825,65.463,66.125,66.808,67.505,68.212,68.925,69.643,70.36,71.07,71.762,72.421,73.035,73.596,74.104,74.558,74.964,75.331,75.674,76.006,76.332,76.661,76.992,77.323,77.65,77.971,78.287,78.598,78.9,79.191,79.468,79.723,79.952,80.152,80.324,80.469,80.59,80.691,80.779,80.863,80.948,81.042,81.151,81.275,81.415,81.569,81.736,81.913
Latin America & Carribean,Colombia,58.47,59.002,59.494,59.954,60.394,60.819,61.234,61.637,62.032,62.425,62.818,63.211,63.607,64.012,64.438,64.909,65.453,66.078,66.777,67.532,68.306,69.052,69.73,70.311,70.784,71.153,71.439,71.68,71.909,72.141,72.384,72.638,72.894,73.144,73.389,73.63,73.87,74.107,74.345,74.583,74.823,75.066,75.313,75.561,75.807,76.047,76.275,76.486,76.681,76.86,77.025,77.181,77.336,77.493,77.656,77.823,77.996
Europe & Central Asia,Croatia,67.248,67.766,68.275,68.775,69.265,69.744,70.211,70.664,71.101,71.52,71.918,72.297,72.654,72.988,73.297,73.49,73.8,74.13,74.16,74.11,74.15,74.15,74.36,74.27,74.27,74.83,75.24,75.24,75.34,75.64,75.93,75.95,75.8,76.04,76.28,76.52,76.76,76.9,76.22,76.55,76.68,78.17,78.4,78.23,79.08,78.83,79.33,79.25,79.6,79.6,79.6,79.9,80.1,80.2,80.5,80.4,81.3
