Country Name,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Arab World,6.891975023,6.629874696,6.335755611,5.888724534,5.206192299,4.41069309,3.816225752,3.521001544,3.471665775,3.373839686
Australia,2.859,2.148,1.891,1.923,1.902,1.822,1.756,1.807,1.928,1.809
Burundi,7.289,7.373,7.418,7.485,7.505,7.288,7.008,6.69,6.256,5.781
Belgium,2.25,1.74,1.68,1.51,1.62,1.56,1.67,1.76,1.86,1.7
Burkina Faso,6.623,6.859,7.127,7.142,7.007,6.844,6.592,6.265,5.868,5.436
Bahrain,6.501,5.56,4.916,4.36,3.732,3.147,2.795,2.436,2.164,2.056
Barbados,3.113,2.393,2.004,1.83,1.74,1.73,1.744,1.759,1.781,1.796
Botswana,6.645,6.472,6.214,5.445,4.54,3.951,3.387,2.987,2.884,2.774
Central African Republic,5.954,5.95,5.954,5.94,5.808,5.618,5.5,5.383,5.215,4.94
Switzerland,2.1,1.61,1.55,1.52,1.58,1.48,1.5,1.42,1.52,1.54
Cameroon,6.203,6.406,6.625,6.695,6.436,5.978,5.58,5.35,5.111,4.778
Colombia,5.548,4.523,3.965,3.42,2.994,2.66,2.389,2.197,2.01,1.874
Cabo Verde,6.935,6.771,6.375,5.883,5.307,4.539,3.762,3.126,2.666,2.374
Cuba,4.033,2.844,1.892,1.837,1.75,1.637,1.617,1.57,1.639,1.72
Cyprus,2.61,2.352,2.354,2.458,2.411,2.124,1.716,1.52,1.424,1.35
Djibouti,6.804,6.77,6.554,6.328,6.073,5.352,4.484,3.867,3.301,2.913
Denmark,1.95,1.92,1.55,1.45,1.67,1.8,1.77,1.8,1.87,1.71
Algeria,7.643,7.434,6.794,5.835,4.726,3.448,2.514,2.497,2.889,2.839
Ecuador,6.138,5.426,4.727,4.213,3.767,3.364,3.027,2.793,2.656,2.514
"Egypt, Arab Rep.",6.233,5.833,5.6,5.382,4.663,3.705,3.233,3.016,3.185,3.311
Spain,2.84,2.77,2.22,1.64,1.36,1.16,1.22,1.33,1.37,1.33
Ethiopia,6.978,7.143,7.316,7.435,7.246,6.995,6.529,5.69,4.924,4.317
Finland,1.83,1.68,1.63,1.64,1.78,1.81,1.73,1.8,1.87,1.65
Fiji,4.543,4.054,3.907,3.629,3.398,3.276,3.09,2.86,2.669,2.541
France,2.55,2.09,1.85,1.86,1.77,1.74,1.89,1.94,2.03,1.96
United Kingdom,2.44,1.81,1.9,1.79,1.83,1.71,1.64,1.76,1.92,1.8
Guinea,6.225,6.369,6.529,6.631,6.598,6.391,6.082,5.729,5.336,4.934
"Gambia, The",6.093,6.293,6.337,6.219,6.107,6.038,5.947,5.835,5.707,5.488
Greece,2.4,2.33,2.23,1.67,1.39,1.28,1.25,1.34,1.48,1.33
Guatemala,6.642,6.535,6.342,5.865,5.437,5.087,4.598,3.971,3.375,3.029
"Hong Kong SAR, China",3.284,2.666,2.047,1.491,1.272,1.295,1.032,0.959,1.127,1.196
Indonesia,5.474,5.043,4.43,3.745,3.122,2.688,2.512,2.514,2.483,2.389
Ireland,3.85,3.37,3.21,2.48,2.11,1.84,1.89,1.86,2.05,1.92
"Iran, Islamic Rep.",6.44,6.212,6.481,6.223,4.818,3.216,2.211,1.831,1.765,1.686
Iraq,7.362,6.993,6.569,6.22,5.882,5.423,4.894,4.563,4.562,4.427
Italy,2.38,2.17,1.64,1.42,1.33,1.19,1.26,1.34,1.46,1.35
Jamaica,5.477,4.478,3.733,3.308,2.947,2.768,2.577,2.361,2.173,2.026
Jordan,7.926,7.598,7.262,6.588,5.488,4.605,4.033,3.75,3.663,3.445
Japan,2.135,1.909,1.75,1.76,1.54,1.422,1.359,1.26,1.39,1.45
Kiribati,5.457,4.978,5.07,4.912,4.688,4.374,4.058,3.909,3.843,3.693
"Korea, Rep.",4.53,3.43,2.82,1.66,1.57,1.634,1.467,1.076,1.226,1.239
Kuwait,7.169,6.176,5.316,4.357,2.967,2.72,2.845,2.498,2.215,1.986
Lesotho,5.808,5.761,5.589,5.313,4.919,4.548,4.089,3.548,3.303,3.143
Luxembourg,1.97,1.55,1.5,1.38,1.6,1.7,1.76,1.63,1.63,1.47
"Macao SAR, China",2.167,1.478,1.709,2.121,1.722,1.238,0.938,0.84,1.061,1.28
Morocco,6.646,6.156,5.684,4.942,4.057,3.298,2.777,2.588,2.578,2.526
Mexico,6.83,6.13,4.836,4.019,3.47,3.018,2.716,2.495,2.341,2.215
Malta,2.03,2.27,1.99,1.95,2.04,1.81,1.7,1.38,1.36,1.45
Mongolia,7.569,7.144,6.209,5.345,4.052,2.738,2.143,2.165,2.637,2.793
Mozambique,6.84,6.683,6.464,6.354,6.211,5.964,5.818,5.736,5.562,5.305
Mauritania,6.784,6.676,6.457,6.244,6.04,5.765,5.453,5.183,4.983,4.736
Mauritius,3.952,3.255,2.672,2.02,2.32,2.14,1.99,1.88,1.57,1.36
Malaysia,5.014,4.425,4.068,3.816,3.554,3.313,2.784,2.293,2.149,2.056
North America,2.458480152,1.779034486,1.829385729,1.82636782,2.05512523,1.943430839,1.998998926,2.004944935,1.900165962,1.818955144
Niger,7.567,7.668,7.844,7.865,7.772,7.725,7.679,7.608,7.487,7.29
Nicaragua,6.892,6.597,6.132,5.448,4.597,3.78,3.083,2.677,2.428,2.231
Netherlands,2.57,1.66,1.6,1.51,1.62,1.53,1.72,1.71,1.79,1.66
Norway,2.5,1.98,1.72,1.68,1.93,1.87,1.85,1.84,1.95,1.72
New Zealand,3.158,2.331,2.03,1.93,2.18,1.99,1.98,1.97,2.17,1.99
Oman,7.311,7.747,8.299,8.222,7.165,5.346,3.716,2.952,2.901,2.737
Panama,5.173,4.537,3.884,3.413,3.057,2.852,2.744,2.651,2.622,2.541
Peru,6.378,5.705,5.021,4.358,3.828,3.317,2.929,2.684,2.545,2.429
Philippines,6.264,5.718,5.183,4.712,4.32,4.005,3.811,3.503,3.158,2.958
Portugal,3.01,2.75,2.25,1.72,1.56,1.41,1.55,1.41,1.39,1.31
Paraguay,5.739,5.223,5.174,4.974,4.547,4.108,3.553,3.04,2.73,2.509
Qatar,6.91,6.46,5.806,4.925,4.013,3.588,3.236,2.569,2.07,1.929
Senegal,7.289,7.293,7.312,7.063,6.53,5.995,5.471,5.161,5.063,4.84
Slovenia,2.231,2.195,2.064,1.71,1.46,1.29,1.26,1.26,1.57,1.57
Sweden,1.92,1.77,1.68,1.74,2.13,1.73,1.54,1.77,1.98,1.85
Swaziland,6.875,6.82,6.646,6.294,5.619,4.798,4.187,3.873,3.527,3.141
Syrian Arab Republic,7.572,7.472,7.094,6.359,5.31,4.509,4.043,3.556,3.21,2.966
Chad,6.528,6.78,6.958,7.124,7.313,7.425,7.354,7.074,6.592,6.05
Togo,7.084,7.275,7.207,6.869,6.324,5.755,5.41,5.179,4.868,4.517
Timor-Leste,5.917,4.794,4.767,5.336,5.34,6.384,7.112,6.79,6.234,5.618
Tonga,5.941,5.426,5.553,5.128,4.644,4.447,4.25,4.144,3.913,3.678
Tunisia,6.705,6.042,5.243,4.425,3.476,2.606,2.142,1.991,2.144,2.223
Turkey,5.619,5.058,4.405,3.741,3.107,2.755,2.503,2.273,2.155,2.072
Tanzania,6.771,6.751,6.653,6.465,6.213,5.883,5.689,5.638,5.427,5.079
Uruguay,2.902,2.983,2.726,2.53,2.52,2.4,2.242,2.158,2.078,2.007
United States,2.48,1.774,1.8395,1.844,2.081,1.978,2.056,2.057,1.931,1.8435
"Venezuela, RB",5.404,4.67,4.199,3.794,3.448,3.082,2.822,2.629,2.472,2.341
Vietnam,6.465,5.973,5.046,4.205,3.553,2.714,2.01,1.894,1.946,1.958
World,4.770690967,4.155118393,3.722379357,3.542498762,3.258952764,2.85623495,2.66789074,2.570385662,2.508024079,2.451829486
Zambia,7.367,7.359,7.087,6.746,6.442,6.189,6.036,5.794,5.397,5.041
