Country Name,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Arab World,52.47481943,55.42218356,58.45621694,61.73996491,64.32269947,66.11814122,67.69493973,68.93805806,70.04105435,70.99454147
Australia,71.01853659,72.62536585,74.33365854,75.62926829,76.99463415,77.82926829,79.23414634,80.84146341,81.69512195,82.4
Burundi,43.829,45.266,47.314,48.845,48.053,48.86,51.545,52.735,54.861,57.094
Belgium,70.97195122,71.97121951,73.20707317,74.5202439,76.05195122,76.84073171,77.72195122,78.9804878,80.18292683,80.99268293
Burkina Faso,39.095,41.63,46.049,49.323,49.454,49.445,50.489,53.31,57.096,59.927
Bahrain,63.448,67.04,69.55,71.237,72.39,73.413,74.44,75.326,76.056,76.761
Barbados,65.569,67.203,68.726,70.145,71.383,72.481,73.377,74.163,74.973,75.755
Botswana,54.609,57.721,60.733,62.556,61.905,55.53,49.03,52.165,59.868,65.846
Central African Republic,41.946,45.9,48.886,49.823,48.767,46.252,43.937,44.466,47.56,51.41
Switzerland,73.0202439,74.66560976,75.45926829,76.73365854,77.24243902,78.41707317,79.6804878,81.23658537,82.24634146,82.89756098
Cameroon,46.104,48.784,51.211,52.698,52.209,50.015,50.026,52.916,55.424,57.582
Colombia,60.91,62.791,65.506,67.588,68.292,69.428,71.019,72.303,73.325,74.2
Cabo Verde,53.669,57.95,61.708,63.268,64.877,66.72,69.747,71.76,71.941,72.599
Cuba,69.812,72.144,73.803,74.519,74.644,75.415,76.658,77.95,78.959,79.57
Cyprus,72.576,73.753,74.79,75.718,76.554,77.312,78.01,78.631,79.43,80.344
Djibouti,49.16,51.832,53.639,55.488,56.678,57.065,57.021,57.999,60.383,62.26
Denmark,73.34341463,74.07512195,74.10170732,74.42756098,74.80536585,75.21268293,76.59268293,77.84390244,79.1,80.70243902
Algeria,50.369,52.863,58.196,64.113,66.725,68.115,70.292,72.767,74.676,75.86
Ecuador,57.783,60.222,63.095,66.126,68.99,71.217,72.933,74.136,75.046,76.102
"Egypt, Arab Rep.",52.155,54.723,58.338,61.812,64.58,66.789,68.613,69.444,70.357,71.304
Spain,72.02731707,73.31878049,75.34926829,76.2595122,76.83756098,77.98073171,78.96585366,80.17073171,81.62682927,82.83170732
Estonia,69.93709756,69.44131707,68.90563415,69.3804878,69.47560976,67.54390244,70.41707317,72.56829268,75.42926829,77.5902439
Finland,70.1795122,71.67365854,73.44,74.22292683,74.81317073,76.4095122,77.46585366,78.81707317,79.87073171,81.4804878
