CountryName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Australia,,96.2091217,,94.82936096,94.19963837,96.94889832,97.97516632,99.97180176,99.98062897,99.97857666,99.95410919,99.80787659,98.70671844,97.72486877,95.91638947,95.95549774,96.61521912,97.14846802,97.80464172,97.90593719,97.5067215,96.92208099,96.69210815,96.28199768,95.98592377,94.56462097,94.98734283,94.59983063,94.56272125,94.22960663,94.1950531,93.99510193,94.06832886,94.76157379,95.14353943,95.62693787,95.80677032,96.57579041,96.69555664,96.82277679,97.10527039,97.76576233,97.65525818,97.49263,97.14568329,97.12010193,96.78299713
Belgium,,,,,,,,96.29779053,,97.62042999,98.15498352,97.04023743,97.12267303,93.98158264,93.29293823,92.87256622,94.30415344,95.68512726,96.89028168,,,96.53404999,95.09397888,97.66636658,97.04167175,97.07827759,97.53970337,,,99.13220978,99.19199371,99.18119812,98.94532776,97.96697235,96.35917664,95.99092102,96.30760193,97.24459839,97.84037018,97.77111053,97.52670288,97.65139771,97.9954071,98.03350067,97.97332001,98.38075256,
Burkina Faso,,10.05459976,10.48779011,,,,,12.55795002,13.02682018,13.51889992,14.30844975,15.32437992,16.81410027,18.0800209,19.42905045,21.48461914,23.48546028,25.13818932,25.62196922,25.91472054,,27.18227005,27.70351982,28.6870594,29.91303062,31.53515053,,,34.98033905,35.51456833,36.74629974,37.77185822,36.72142029,39.04854965,41.14891815,45.97285843,49.62342834,54.95360947,61.00304031,63.89451981,60.21007919,64.89105988,66.07418823,66.97221375,68.30393219,69.96008301,75.85292816
Bahrain,,76.33968353,79.20478821,80.26908112,81.86210632,85.28601074,82.1248703,82.11387634,80.05570984,80.69142151,82.39830017,81.99603271,80.6088028,83.25855255,86.61060333,91.05123138,96.14373016,95.51584625,98.27365875,99.06140137,,99.41275787,97.00847626,98.02281952,97.93228149,99.10958099,99.85800171,99.6033783,99.94364929,99.53131866,97.88865662,94.85508728,94.42835999,93.38639069,92.87957001,90.1977005,91.89263153,,,,,91.8996582,92.74080658,93.73831177,95.72386169,97.99543762,97.90026093
Botswana,43.33459854,40.5593605,42.13240814,45.53311157,49.78664017,56.18735886,60.68954849,64.95290375,65.99488831,67.73943329,72.02095032,76.3055191,,80.23368073,80.59809875,82.54953003,83.63545227,84.52101135,84.98253632,85.51602173,85.00489044,87.02613068,86.46166992,86.20854187,86.48709106,78.72177124,79.86946869,,83.63067627,83.12773895,84.2286911,85.81043243,85.96166229,85.94299316,86.72714233,85.8508606,86.93456268,86.19966125,85.73587036,86.5010376,,,92.83017731,93.5249176,89.5216217,,
Cuba,,,92.95839691,94.50691986,95.41500092,,,,,98.3480072,97.61106873,95.41705322,94.3432312,94.44789124,92.96853638,91.24102783,91.53833008,93.06735229,92.84499359,92.92427826,92.49028778,92.08705139,94.26909637,95.08570099,97.37866211,97.26618195,99.21637726,98.96481323,98.68567657,98.81633759,98.13375854,97.40683746,96.96852112,94.94387817,94.66700745,94.43775177,94.50855255,96.69979858,97.61386871,99.81890106,99.95024872,99.99642181,99.60027313,99.56889343,96.56259918,95.46157074,
Cyprus,,79.73274994,78.37996674,78.2754364,77.64427948,71.21884918,68.99791718,68.07942963,68.85246277,69.5732193,68.73445129,71.21460724,67.93724823,68.09789276,68.37381744,69.16519165,73.80319214,77.85594177,79.33486176,79.45967102,78.82102966,79.15245056,77.36126709,97.62944794,96.91663361,96.21299744,96.11727905,96.28476715,,97.99125671,98.06996918,97.53959656,98.50694275,98.63523865,98.76019287,99.66204071,99.52018738,99.34184265,98.96124268,99.14473724,99.28510284,99.28009033,98.17635345,97.49436951,97.13529205,97.82833862,
Algeria,,,,67.49807739,71.40164948,73.81181335,75.78453827,77.35260773,78.40789032,78.50411987,79.61673737,79.87956238,79.55007935,78.88215637,79.90032959,80.24539948,81.39682007,82.70111084,83.80078888,84.86515045,85.39041138,87.11221313,88.19908905,87.7100296,87.65254211,87.88282776,87.43859863,86.91522217,,89.72859955,90.52619171,92.64196014,93.90210724,94.42610931,95.17878723,95.47720337,95.67726135,95.87886047,97.22104645,98.96613312,98.88748169,99.05084991,99.11083221,,,99.26709747,99.2312088
Spain,,92.89792633,94.26795959,95.23184204,,99.46665192,99.90673828,99.08840179,98.49434662,98.59340668,99.15735626,99.18084717,,99.58605194,99.75650024,99.79081726,99.80075836,99.20646667,98.37837982,98.98301697,98.95818329,99.66216278,99.34951782,99.98680115,99.98290253,99.95607758,99.94393158,99.93536377,,99.85681915,99.81311798,99.76262665,99.81835938,99.85694885,99.74835205,99.61974335,99.77577972,99.88076019,99.85649872,99.7177887,99.61392975,99.67424011,99.6681366,99.11936951,98.52245331,98.93296814,98.53000641
France,,97.14517975,97.25758362,97.48235321,97.92701721,,97.52626038,97.76273346,,99.87914276,99.75208282,100,98.58943176,96.26069641,,95.50009918,98.24221802,99.87468719,99.80967712,,99.9613266,99.95407867,99.61551666,98.09249115,97.88314056,98.81183624,99.73184967,99.58091736,,99.69911194,99.64407349,99.63503265,99.57103729,99.4344635,99.11788177,99.25865936,99.16007233,99.2098999,99.16423035,99.25994873,99.27832031,99.00567627,98.86089325,99.19946289,99.22499847,99.28436279,
United Kingdom,,98.10803223,97.25166321,96.30168915,95.81069183,95.72158813,95.80593872,96.11947632,96.18984985,96.3551178,97.70909882,97.57996368,96.62368774,95.0379715,94.57132721,93.49929047,95.11607361,97.94033051,99.60997772,99.71222687,99.78903198,98.11962891,96.59140778,,,,,,99.90545654,99.9437027,99.94838715,99.93997955,99.74832916,99.90733337,99.31269836,99.99861908,99.55740356,97.72769928,98.90364075,98.17163849,98.37748718,98.37666321,98.62904358,99.8914032,99.90799713,99.94197083,
"Gambia, The",,24.06587982,23.30105972,24.27905083,24.49353981,25.43634987,26.73010063,31.02430916,33.94898987,37.51163864,42.0240097,50.66743851,54.26599884,57.48709106,59.09149933,61.67068863,61.07144928,,,,47.7933197,,45.99795914,49.30826187,,,59.40658951,,63.39445114,74.92394257,72.54315948,73.44216919,71.33876038,74.99269867,75.1043396,72.23721313,76.59246826,76.31752014,71.93470764,,69.98712921,69.85643005,72.25653076,68.27198792,71.03527832,74.02626801,76.11047363
Greece,,91.92340088,92.37954712,93.50301361,95.10630035,95.46855927,95.66242218,95.09642792,94.37647247,93.39009857,91.73181915,93.22814941,93.44519043,94.29174805,94.23016357,94.1140976,93.21212006,90.98300171,91.76216125,91.25962067,90.99487305,90.73129272,88.98564148,87.14971924,86.47749329,87.60399628,86.77989197,87.34529114,94.06336212,94.60048676,95.82366943,94.64761353,94.86077881,94.90856171,94.59493256,93.51100922,92.94593048,92.81967163,,,93.90960693,94.2040329,94.50994873,93.93283844,92.66657257,93.57662201,
Indonesia,,70.0650177,71.20590973,,70.92073822,73.35959625,76.27583313,78.67176819,85.45485687,,,90.134758,96.03302765,97.42359161,97.71103668,97.82836151,97.22151184,98.09861755,97.77249146,97.92666626,96.28034973,95.37333679,94.51795197,93.31394958,93.84172821,93.6578064,92.55697632,92.50361633,,,,96.16513062,95.42582703,94.88829041,94.11650848,93.14997101,94.47914124,96.90077972,96.32465363,97.40709686,98.05184174,97.55473328,95.99469757,93.10175323,92.00222015,,91.71122742
Ireland,,94.74488831,93.49562073,93.68270874,93.02390289,93.68734741,94.93891907,95.85932159,96.09635925,95.05827332,93.1155777,90.39955902,87.8060379,85.94023895,,,84.72162628,85.53491211,86.63237,87.28462219,87.81826782,87.40557098,86.65048981,86.39910126,86.51320648,86.79376221,87.53128052,,99.39093781,99.81025696,99.75035858,99.72013092,99.76348114,99.89408112,99.81080627,99.88394928,99.88716888,99.9418869,99.77171326,99.61659241,99.60140991,99.09635162,99.46925354,99.38871765,99.23552704,99.677948,
Japan,,99.31645203,98.85115814,98.32118225,96.69844818,97.77554321,98.72749329,99.16764832,98.73497772,98.96955872,99.93884277,99.54295349,98.57537079,98.24552917,98.44864655,99.36284637,99.87552643,99.86903381,99.85581207,99.84571838,99.81221008,99.29792023,98.9510498,,99.51509857,99.75920868,,,98.03759003,97.7907486,97.77092743,97.93299866,98.71479797,99.28723145,99.77324677,99.73188019,99.70414734,99.72767639,99.76550293,99.80271912,99.35057068,99.18061066,98.93399811,98.63699341,98.2851181,98.79994202,
"Korea, Rep.",,95.91020203,97.52471924,96.77613068,96.40393066,96.73770905,97.63961792,96.73171234,97.06787872,98.70326996,99.947052,99.93000793,99.79376221,99.74022675,99.14716339,98.59709167,98.30908966,99.51230621,99.88575745,99.88526917,99.7804184,99.74355316,99.58178711,99.35114288,99.00285339,98.50498199,98.22801208,98.53437805,97.93087006,98.6166687,99.19325256,98.18373871,97.90209961,98.68695831,98.42965698,99.68515778,99.67292023,99.69326019,99.76873016,99.59205627,99.16200256,98.90564728,97.32505035,94.45054626,94.67240906,97.34262848,
Kuwait,,60.95132828,63.67253876,67.06345367,68.30950165,69.58437347,71.02832794,75.73667145,84.62702942,82.93863678,81.37093353,82.26924133,83.23052979,85.77062988,87.14536285,88.77571106,88.590271,83.37709045,81.84149933,,,,46.98649979,,67.87882996,,88.97302246,88.50980377,94.89096069,94.34536743,90.99809265,90.58576965,93.1791687,92.74503326,94.4078064,92.36492157,,97.77835083,98.80188751,,98.69142914,99.1000824,98.37232971,97.46782684,97.37966156,97.59156036,96.73618317
Lesotho,60.02745819,56.08750153,56.72404099,57.13671112,65.06255341,,66.06996155,67.0690918,60.70288086,61.99940109,62.40795898,62.68442917,66.82330322,66.26687622,67.19351959,69.59179688,69.97180176,71.79447174,73.1461792,72.50148773,71.32391357,72.84870148,73.12171173,70.70269775,71.82646942,70.7037735,70.90907288,,62.86714935,59.19404984,79.86605072,80.07681274,80.52239227,80.62185669,78.24764252,77.48609924,77.78917694,75.29046631,76.38658905,76.95935059,78.98545074,80.36578369,81.60719299,79.5438385,80.15023041,80.14511871,80.5120163
Morocco,,36.86272812,37.95785141,38.31174088,,41.21118927,44.13927841,47.72370148,50.98398972,53.42306137,56.07791901,58.76488876,59.1019516,61.44224167,63.94137955,62.63843155,60.87289047,58.85863113,57.14664078,55.04681015,55.8862915,55.53347015,56.03091812,58.14929962,60.74483871,63.52225876,65.78475952,67.31716919,66.53842163,71.46704865,76.27800751,80.22471619,84.45601654,85.81024933,85.75054169,86.87306976,88.26564026,89.62013245,90.23751068,89.81214905,92.62326813,93.49324799,92.76528931,94.11557007,93.48892212,,94.57711029
Mauritius,,,77.95204163,78.4882431,79.07801819,80.05567932,80.11239624,83.59573364,81.30390167,78.6053009,79.26056671,82.57424927,88.51138306,91.63172913,94.8168869,99.90821838,98.41281128,99.64916992,99.45494843,99.32785034,97.1772995,92.62251282,,92.76293945,93.73892975,94.68318176,96.98175049,97.90364075,95.87979126,92.75756073,93.22731018,92.75218964,94.33415222,93.72392273,94.39045715,96.02008057,96.03756714,96.51416016,96.67807007,96.58661652,96.50868988,96.74887085,93.79192352,96.08615875,96.52165222,96.2765274,95.3366394
Niger,,,,10.60853958,11.13558006,,,15.12508011,16.14422035,,,19.20413017,,,,,23.33992004,,,22.56850052,22.8850708,23.46911049,21.4097805,,,,,24.05182076,24.39038086,26.12355995,26.86676025,30.49028969,34.09580994,37.81639099,41.31423187,41.31145096,42.62715149,43.86759186,47.28675079,51.06116104,55.11671066,59.85900116,61.28767014,61.0104599,61.05210876,62.68569946,63.79476166
Nicaragua,52.41981888,55.23394012,55.02032089,55.71725082,55.61877823,57.5196991,58.74747086,57.82136154,55.78989029,,64.39705658,,62.99541855,63.45446014,61.95138168,66.06942749,64.94519043,66.55467987,66.77172852,65.0438385,67.51689911,70.1623764,73.57788849,74.32348633,75.22335052,73.43441772,72.71305847,,,82.65891266,85.93254089,90.18282318,97.42726898,,99.17343903,99.36260223,98.36495209,98.10733032,98.97132874,,98.41027069,,,,,,
Netherlands,,92.74279785,92.10748291,91.52475739,90.77490997,90.61831665,91.5354538,91.88208008,92.35678864,92.91356659,93.01502228,92.43034363,90.40532684,88.42939758,87.10392761,86.56236267,92.05285645,93.8963623,95.44371033,95.99749756,95.82034302,95.11689758,94.15866089,93.53312683,98.96160126,99.20709991,99.38736725,99.6654129,,99.46817017,99.51300049,99.47171783,99.42958832,98.9464035,98.35582733,98.27436829,98.67932892,99.51223755,99.78671265,99.99929047,99.72727966,99.48718262,98.7541275,,,96.7525177,97.68711853
Norway,,97.57643127,98.13282776,,,,99.68327332,99.63729095,98.98856354,98.64031982,99.17533875,98.38561249,98.13591003,,97.3603363,96.36161041,96.39424896,97.00971985,97.64546204,98.65821838,99.73066711,99.95668793,99.64790344,98.6680603,98.39620972,98.19120789,98.26480865,84.19145966,99.73560333,99.79454041,99.70516205,99.76033783,99.72673035,99.85574341,99.35243225,98.5114975,98.59500885,99.07582092,99.26267242,99.15383148,99.079422,99.40241241,99.68914795,99.8567276,99.83146667,99.76589203,99.80619812
New Zealand,99.97071075,99.78222656,99.90039063,99.49732971,99.44087219,99.55983734,99.66490936,99.57774353,99.44377136,99.42159271,99.47348022,99.32086182,99.21189117,98.83112335,99.50991058,99.57958221,99.76006317,99.8602066,99.89205933,99.8303299,99.52082062,98.98017883,97.55024719,,97.1552124,98.5120697,98.97884369,99.75817108,99.54662323,99.40849304,99.0388031,97.36099243,96.93492126,98.13873291,98.34365082,99.10079193,99.1484375,99.48753357,99.59565735,99.50964355,99.46865845,99.05766296,98.20070648,97.77403259,97.4822998,97.73030853,98.52272797
Oman,,,,13.31077003,18.88167,26.28963089,27.24740028,,34.778759,37.80752182,,42.87990189,45.48770142,48.54689026,54.95560074,57.37023163,63.22985077,65.47096252,64.82393646,65.9658432,67.16255951,68.23342896,69.59612274,72.95678711,74.20050812,75.65466309,78.29363251,79.01911926,81.17552185,83.00467682,83.95884705,85.05661011,85.05677032,83.72775269,,,,,,97.70741272,,96.46086121,97.5316925,98.10424805,97.88020325,97.76172638,98.54122162
Portugal,,,,88.0324173,88.08618164,,92.35942078,93.41850281,95.91004944,,95.50491333,96.02364349,,,97.87261963,99.45218658,99.64836121,99.51470947,,,99.7066803,98.24414825,99.61949158,99.72530365,98.35498047,99.48220062,99.57922363,,,,97.02278137,,,,99.14766693,99.27223969,99.06484222,,,99.36942291,99.48989105,99.02861023,99.11535645,98.97528839,98.11109924,97.1465683,96.43135071
Paraguay,79.9347229,,80.91594696,81.58145142,,78.98892975,80.05982208,80.97711945,82.63820648,83.90351105,86.05001831,87.95359802,92.32161713,88.38517761,87.97702026,87.8990097,86.86405945,87.63439178,89.258461,91.15458679,92.97115326,94.97666168,95.88173676,96.28301239,91.8588028,91.70462036,95.02059174,,,97.0827713,97.86222839,97.87516022,96.21356201,95.42912292,94.91107941,95.42904663,93.77391815,92.02575684,90.54032135,89.5368576,89.65869141,89.69455719,89.19777679,,,,
Qatar,,80.70288849,85.34403229,86.67848206,85.88059998,,88.87332916,90.43422699,94.45540619,95.89060211,96.09722137,94.72209167,95.60977173,93.49124908,93.43952942,91.40313721,92.32746124,89.17514038,88.12670135,87.34158325,85.60555267,81.05841064,78.20697021,77.07436371,81.60501862,,,,97.39341736,98.57623291,96.18775177,96.93621063,98.14521027,96.70481873,96.18572235,99.28669739,93.36235046,98.46515656,,97.07404327,95.41886902,98.81125641,97.42579651,93.6776886,93.85668182,96.57369232,97.83193207
Senegal,,,,,,,,,30.78148079,33.31177902,34.43650055,35.71118164,37.44203949,39.41173172,40.2700119,41.02276993,45.64471054,,46.37482834,45.59410095,44.77196884,,44.23334122,,44.92858887,,49.20220184,53.432621,56.00645828,54.94596863,58.0989418,,,64.82563019,62.8966217,64.01230621,66.49343872,69.08891296,69.94287872,70.34082794,71.25119019,71.76952362,74.75376892,73.59073639,74.26976776,74.18997192,72.33998871
Syrian Arab Republic,,72.88040161,,81.93557739,83.57956696,83.73303986,84.46257019,85.35488892,85.05841064,84.88066864,85.78520966,85.79782104,86.06372833,86.49661255,88.33161163,89.81324005,91.45233154,94.83506775,94.70752716,95.03836823,94.73268127,95.76461792,96.16342163,96.20819855,96.43585205,96.46909332,96.37966156,95.57885742,96.59738922,96.52889252,96.86071014,97.52996826,97.70474243,98.38327789,98.99923706,99.19528961,99.05921936,98.96199799,99.01702881,98.91213226,98.92807007,,,67.23214722,,,
Tunisia,,77.87490845,,,,75.79849243,,,77.92723846,79.37117767,81.44110107,83.17407227,85.7678299,88.82736206,91.57317352,92.32026672,92.99743652,93.51648712,93.83602142,94.29734039,93.94593048,94.94950867,95.33661652,96.17458344,96.18888092,96.42446136,95.46047211,94.3375473,,94.34475708,95.43820953,97.2858429,99.4777298,99.69793701,99.84088135,98.87223816,98.63005829,97.65280914,97.99880219,98.60118103,99.63455963,99.63407135,99.89364624,99.61534119,,,
Tanzania,,,,,,,48.20814896,,,,69.86831665,68.59266663,63.71786118,62.4778595,59.29101181,56.4621315,55.16389847,53.71625137,52.07590103,51.98231125,51.32563019,50.62554169,50.70394135,49.92002869,48.71263123,48.60242081,48.70991898,49.09300995,48.5705986,48.97568893,52.50188828,57.05207825,71.70568085,79.92563629,84.08561707,88.26358032,93.43869019,,94.37156677,,87.71476746,,83.58638,80.76245117,79.04483032,,
World,72.23847961,72.05667114,72.84748077,74.93791199,75.61253357,76.79070282,77.48922729,77.54260254,76.51748657,76.87902069,78.05299377,78.78800201,79.21382904,79.45391846,79.6886673,80.27330017,81.00308228,81.27155304,81.84906769,82.43630981,82.40090179,82.56191254,82.25988007,82.36580658,82.47753143,82.26151276,82.08258057,82.18408966,83.10225677,84.04303741,84.88690948,85.30193329,86.22776794,87.48872375,88.55802155,88.68218231,89.09499359,90.31699371,90.57015991,90.43885803,90.63243866,90.75306702,91.04958344,90.97431183,90.96498108,91.02166748,91.07296753
