Country Name,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Arab World,56.07794189,60.36222839,65.94761658,69.23169708,72.44779968,72.11663055,77.16516113,82.20054626,85.96787262,84.11351776
Australia,,96.94889832,99.95410919,95.95549774,97.5067215,94.56462097,94.1950531,95.62693787,97.10527039,97.12010193
Burundi,,,19.16239929,40.22605896,,,42.30168152,58.91146088,97.01351929,
Belgium,,,98.15498352,92.87256622,,97.07827759,99.19199371,95.99092102,97.52670288,98.38075256
Burkina Faso,,,14.30844975,21.48461914,,31.53515053,36.74629974,45.97285843,60.21007919,69.96008301
Bahrain,,85.28601074,82.39830017,91.05123138,,99.10958099,97.88865662,90.1977005,,97.99543762
Barbados,,,,,97.60317993,,95.5582962,90.28173828,95.08052063,92.52668762
Botswana,43.33459854,56.18735886,72.02095032,82.54953003,85.00489044,78.72177124,84.2286911,85.8508606,,
Central African Republic,,,,,57.26208115,,,47.76794052,67.67938995,
Switzerland,,,,76.14981842,83.2928009,88.86615753,99.29759216,97.97099304,99.09284973,99.6264801
Cameroon,,66.16188812,68.95677948,,73.97164154,,,,,
Colombia,,,,67.64785004,,81.03540039,97.53765106,97.45558929,97.22104645,93.16819
Cabo Verde,,,,93.67754364,99.19792938,,99.60141754,94.61810303,87.50811005,87.03650665
Cuba,,,97.61106873,91.24102783,92.49028778,97.26618195,98.13375854,94.43775177,99.95024872,95.46157074
Cyprus,,71.21884918,68.73445129,69.16519165,78.82102966,96.21299744,98.06996918,99.66204071,99.28510284,97.82833862
Djibouti,,,,25.13891029,27.19718933,28.14266014,27.03333092,36.87810135,,55.59273911
Denmark,,,,98.77725983,97.68508148,98.27815247,98.10582733,96.15496063,96.26952362,98.69377136
Algeria,,73.81181335,79.61673737,80.24539948,85.39041138,87.88282776,90.52619171,95.47720337,98.88748169,99.26709747
Ecuador,,80.8082428,88.07433319,,,92.6522522,96.99479675,99.37654877,96.76557159,97.9647522
"Egypt, Arab Rep.",,,,,,,86.05153656,93.54811096,98.98313141,
Spain,,99.46665192,99.15735626,99.79081726,98.95818329,99.95607758,99.81311798,99.61974335,99.61392975,98.93296814
Ethiopia,,,,,,21.84534073,40.06842041,61.15719986,74.2882309,86.01902771
Finland,,,,,,98.31477356,99.73542786,97.34561157,98.31079102,99.19242859
Fiji,,,,,,95.49458313,94.86164856,,,98.02938843
France,,,99.75208282,95.50009918,99.9613266,98.81183624,99.64407349,99.25865936,99.27832031,99.28436279
United Kingdom,,95.72158813,97.70909882,93.49929047,99.78903198,,99.94838715,99.99861908,98.37748718,99.94197083
Guinea,,,,30.94885063,26.02654076,,44.94221878,64.29039001,71.66754913,
"Gambia, The",,25.43634987,42.0240097,61.67068863,47.7933197,,72.54315948,72.23721313,69.98712921,74.02626801
Greece,,95.46855927,91.73181915,94.1140976,90.99487305,87.60399628,95.82366943,93.51100922,93.90960693,93.57662201
Guatemala,45.95251083,50.10290909,54.64923859,,,,83.54524231,92.28014374,97.41047668,87.80667114
"Hong Kong SAR, China",,92.16957855,98.19130707,95.02603149,,92.86287689,,,,98.70774841
Indonesia,,73.35959625,,97.82836151,96.28034973,93.6578064,,93.14997101,98.05184174,
Ireland,,93.68734741,93.1155777,,87.81826782,86.79376221,99.75035858,99.88394928,99.60140991,99.677948
"Iran, Islamic Rep.",,,,83.28948975,92.51422882,,84.87374878,95.6227417,99.68354034,99.41443634
Iraq,,64.52010345,93.50907898,87.42022705,,,88.55310822,,,
Italy,,,,98.94319153,,97.01805115,99.75138092,99.30465698,99.25093842,99.04157257
Jamaica,,95.14611816,96.51013947,95.50327301,97.36463165,,92.84889984,,,
