Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Arab World,56.07794189,56.12245941,57.40262985,58.44047928,59.09978104,60.36222839,61.86959839,62.66632843,63.29079056,64.84976196,65.94761658,66.32450104,66.78279114,67.4405899,68.66461182,69.23169708,70.20259094,71.34195709,72.02619171,72.05734253,72.44779968,73.06137085,70.48724365,70.89000702,73.01302338,72.11663055,74.11853027,74.5353775,74.96333313,75.96856689,77.16516113,78.66404724,79.88078308,80.63008118,81.42153931,82.20054626,82.44628143,83.80132294,84.70269012,84.96373749,85.96787262,85.30222321,85.44207001,84.23835754,83.72648621,84.11351776,84.12143707,
Argentina,94.97296906,,,,96.61270905,96.38581848,,,,,,,,,,,,94.54154968,,,,96.25483704,,,,,,100,99.93818665,99.75192261,99.54846954,,,99.54385376,99.19732666,99.34583282,99.47064972,99.57598114,99.43910217,99.43531799,99.06616211,99.14302063,99.18699646,99.35539246,99.67446899,99.73429871,,
Australia,,96.2091217,,94.82936096,94.19963837,96.94889832,97.97516632,99.97180176,99.98062897,99.97857666,99.95410919,99.80787659,98.70671844,97.72486877,95.91638947,95.95549774,96.61521912,97.14846802,97.80464172,97.90593719,97.5067215,96.92208099,96.69210815,96.28199768,95.98592377,94.56462097,94.98734283,94.59983063,94.56272125,94.22960663,94.1950531,93.99510193,94.06832886,94.76157379,95.14353943,95.62693787,95.80677032,96.57579041,96.69555664,96.82277679,97.10527039,97.76576233,97.65525818,97.49263,97.14568329,97.12010193,96.78299713,
Austria,,90.95584106,90.16531372,88.81080627,87.91741943,87.62542725,87.04473877,,,,,,,,,,,,,94.28749847,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,18.77486992,,,,,17.41695976,,19.16239929,21.15967941,24.61072922,30.9912796,35.87574005,40.22605896,42.68577957,47.68753815,50.15948868,,,,,50.19477081,,,,,,,42.30168152,51.23426819,50.58124161,54.11079025,55.72758865,58.91146088,75.6993866,82.75681305,93.35182953,91.64646912,97.01351929,,,,,,,
Belgium,,,,,,,,96.29779053,,97.62042999,98.15498352,97.04023743,97.12267303,93.98158264,93.29293823,92.87256622,94.30415344,95.68512726,96.89028168,,,96.53404999,95.09397888,97.66636658,97.04167175,97.07827759,97.53970337,,,99.13220978,99.19199371,99.18119812,98.94532776,97.96697235,96.35917664,95.99092102,96.30760193,97.24459839,97.84037018,97.77111053,97.52670288,97.65139771,97.9954071,98.03350067,97.97332001,98.38075256,,
Burkina Faso,,10.05459976,10.48779011,,,,,12.55795002,13.02682018,13.51889992,14.30844975,15.32437992,16.81410027,18.0800209,19.42905045,21.48461914,23.48546028,25.13818932,25.62196922,25.91472054,,27.18227005,27.70351982,28.6870594,29.91303062,31.53515053,,,34.98033905,35.51456833,36.74629974,37.77185822,36.72142029,39.04854965,41.14891815,45.97285843,49.62342834,54.95360947,61.00304031,63.89451981,60.21007919,64.89105988,66.07418823,66.97221375,68.30393219,69.96008301,75.85292816,
Bangladesh,50.84693909,,,70.36862183,,,76.24365234,71.34211731,70.6111908,,,67.54412842,,64.37039185,62.97230911,61.14757919,60.14186096,59.1470108,69.42752838,69.39029694,72.32421112,,,,,,,,,,,,,,,95.18913269,95.6449585,,92.58087158,93.4997406,94.93205261,,,,,,,
Bahrain,,76.33968353,79.20478821,80.26908112,81.86210632,85.28601074,82.1248703,82.11387634,80.05570984,80.69142151,82.39830017,81.99603271,80.6088028,83.25855255,86.61060333,91.05123138,96.14373016,95.51584625,98.27365875,99.06140137,,99.41275787,97.00847626,98.02281952,97.93228149,99.10958099,99.85800171,99.6033783,99.94364929,99.53131866,97.88865662,94.85508728,94.42835999,93.38639069,92.87957001,90.1977005,91.89263153,,,,,91.8996582,92.74080658,93.73831177,95.72386169,97.99543762,97.90026093,
"Bahamas, The",,100,99.91925049,96.3718338,99.38990021,100,98.85897064,,,,97.21917725,100,,,95.92394257,,,,,,,,88.53601074,88.87670135,92.61087799,,,,,91.28663635,,,,,94.39459229,98.58274841,97.12982178,98.66082764,98.60771179,96.19410706,97.79930115,,,,,,88.36775208,
